Time (UTC),Latitude,Longitude,Air Temperature QC,Air Temperature,Air pressure QC,Air pressure,Humidity QC,Humidity,Wind speed QC,Wind speed,Wind Direction QC,Wind Direction
day-month-year hour:minute:second,Decimal Degrees East,Decimal Degrees North,QC Code,Degrees Celsius,QC Code,millibar,QC Code,percent,QC Code,meters per second,QC Code,Degrees clockwise from due north
Dd-MMM-yyyy HH:mm:ss,°E,°N,int,°C,int,mb,int,%,int,m/s,int,°
01-Jan-24 00:00:00,38.03352,-76.33748,1,5.3,1,1018.06,,,1,6.17,1,147.7
01-Jan-24 00:06:00,38.03352,-76.33748,1,5.3,1,1017.89,,,1,6.4,1,149
01-Jan-24 00:12:00,38.03350,-76.33748,1,5.31,1,1018.23,,,1,5.41,1,148.5
01-Jan-24 00:18:00,38.03350,-76.33748,1,5.31,1,1018.04,,,1,6.18,1,151.3
01-Jan-24 00:24:00,38.03350,-76.33748,1,5.31,1,1018.11,,,1,6.16,1,154.7
01-Jan-24 00:30:00,38.03349,-76.33748,1,5.2,1,1017.68,,,1,5.88,1,154.8
01-Jan-24 00:36:00,38.03349,-76.33748,1,5.22,1,1018.22,,,1,5.79,1,147.6
01-Jan-24 00:42:00,38.03349,-76.33748,1,5.31,1,1017.74,,,1,5.6,1,150.9
01-Jan-24 00:48:00,38.03349,-76.33748,1,5.29,1,1017.89,,,1,5.89,1,150.5
01-Jan-24 00:54:00,38.03350,-76.33748,1,5.3,1,1017.7,,,1,5.45,1,150.6
01-Jan-24 01:00:00,38.03349,-76.33748,1,5.41,1,1017.95,,,1,5.32,1,152.4
01-Jan-24 01:06:00,38.03350,-76.33748,1,5.41,1,1017.5,,,1,6.12,1,158.7
01-Jan-24 01:12:00,38.03350,-76.33748,1,5.41,1,1017.89,,,1,6.35,1,160.5
01-Jan-24 01:18:00,38.03350,-76.33748,1,5.4,1,1017.41,,,1,6.03,1,161.3
01-Jan-24 01:24:00,38.03350,-76.33748,1,5.4,1,1017.67,,,1,5.93,1,162.5
01-Jan-24 01:30:00,38.03349,-76.33748,1,5.31,1,1017.54,,,1,5.54,1,164.3
01-Jan-24 01:36:00,38.03349,-76.33748,1,5.31,1,1017.73,,,1,5.59,1,162.4
01-Jan-24 01:42:00,38.03349,-76.33748,1,5.3,1,1017.61,,,1,5.75,1,168.3
01-Jan-24 01:48:00,38.03349,-76.33748,1,5.22,1,1017.6,,,1,5.98,1,168.4
01-Jan-24 01:54:00,38.03349,-76.33748,1,5.21,1,1017.81,,,1,5.79,1,169.9
01-Jan-24 02:00:00,38.03350,-76.33748,1,5.21,1,1017.86,,,1,6.05,1,168.6
01-Jan-24 02:06:00,38.03349,-76.33748,1,5.21,1,1017.75,,,1,5.93,1,164.7
01-Jan-24 02:12:00,38.03350,-76.33748,1,5.2,1,1017.8,,,1,5.42,1,169.7
