Time (UTC),Latitude,Longitude,Temperature QC,Temperature,Salinity QC,Salinity,Chlorophyll QC,Chlorophyll,Turbidity QC,Turbidity,Oxygen QC,Oxygen,Waves QC,Significant wave height,Wave from direction,Wave period,North surface currents,East surface currents
day-month-year hour:minute:second,Degrees East,Degrees North,QC Code,Degrees Celsius,QC Code,practical salinity unit,QC Code,Micrograms per Liter,QC Code,Nephelometric Turbidity Units,QC Code,millilitres O2 per liter,QC Code,meters,Degrees clockwise from due north,seconds,meters/second,meters/second
Dd-MMM-yyyy HH:mm:ss,deg e,deg n,int,°C,int,PSU,int,ug/L,int,NTU,int,ml/L,int,meters,°,s,m/s,m/s
01-Jan-24 00:00:00,38.03352,-76.33748,1,7.67,1,12.17,,,,,,,1,0.18,129.8,1.97,-19.98,-12.07
01-Jan-24 00:06:00,38.03352,-76.33748,1,7.69,1,12.19,,,,,,,1,0.18,131.9,2.03,-33.09,-6.99
01-Jan-24 00:12:00,38.03350,-76.33748,1,7.72,1,12.22,,,,,,,1,0.18,131.9,2.03,-32.66,-2.56
01-Jan-24 00:18:00,38.03350,-76.33748,1,7.78,1,12.24,,,,,,,1,0.18,131.9,2.03,-41.16,3.94
01-Jan-24 00:24:00,38.03350,-76.33748,1,7.79,1,12.3,,,,,,,1,0.22,147.2,2.08,-33.2,7.54
01-Jan-24 00:30:00,38.03349,-76.33748,1,7.75,1,12.31,,,,,,,1,0.22,147.2,2.08,-34.66,13.18
01-Jan-24 00:36:00,38.03349,-76.33748,1,7.73,1,12.34,,,,,,,1,0.22,147.2,2.08,-30.2,31.25
01-Jan-24 00:42:00,38.03349,-76.33748,1,7.76,1,12.34,,,,,,,1,0.22,147.2,2.08,-21.84,46.83
01-Jan-24 00:48:00,38.03349,-76.33748,1,7.74,1,12.4,,,,,,,1,0.24,139.2,2.12,-15.55,45.52
01-Jan-24 00:54:00,38.03350,-76.33748,1,7.74,1,12.39,,,,,,,1,0.24,139.2,2.12,-15.09,50.05
01-Jan-24 01:00:00,38.03349,-76.33748,1,7.73,1,12.4,,,,,,,1,0.24,139.2,2.12,-23.17,49.3
